62945,-69237
81158,92359
-74603,75251
82675,-2274
26472,-18585
-80492,-74685
-44300,85085
9376,-98884
91501,-62722
92978,-35188
-68477,-89963
94119,-71093
91433,45874
-2925,-3544
60056,-32387
-71623,-52647
-15648,-9827
83147,-62910
58441,-35149
91898,-47206
31148,66015
-92858,39272
69826,-33293
86799,16046
35747,-42432
51548,-47206
48626,-48020
-21555,35416
31096,3965
-65763,-84649
41209,-88831
-93633,-48254
-44615,-12015
-90766,-43142
-80574,35754
64692,89916
38966,54791
-36580,27228
90044,50716
-93111,49363
-12251,17206
-23688,54611
53103,-21502
59040,21058
-62625,-50513
-2047,-41960
-10883,-96133
29263,-30538
41873,-71641
50937,-17693
-44795,-69386
35941,65802
31020,47840
-67478,-80226
-76200,64127
-327,-54578
91949,-78612
-31923,32555
17054,90915
-55238,62913
50253,24651
-48981,-34346
1191,-44526
39815,-13125
78181,-29941
91858,75552
9443,-98769
-72275,39290
-70141,-32387
-48498,-39003
68143,29620
-49144,84229
62857,78615
-51295,99436
85853,-85423
-30003,-74076
-60681,96314
-49783,-81952
23209,37232
-5342,85793
-29668,-71637
66166,76883
17053,-96048
9945,-31463
83439,-52339
-42832,96913
51440,69320
50746,58902
-23911,80056
13564,56021
-84829,67302
-89210,-35781
6160,48549
55833,32899
86802,-42163
-74019,-32526
13765,81727
-6122,-93550
-97620,39272
-32575,-58246
-67564,64830
58857,-56354
-37757,-80072
5707,23901
-66870,-79237
20396,59812
-47406,80585
30816,-37497
37843,-43682
49630,-98644
-9892,-826
-83236,97696
-54205,47588
82667,-37856
-69524,20082
65163,56336
7668,-77693
99227,15866
-84365,74074
-11464,37955
-78669,-51406
92380,-31456
-99073,9088
54982,-86485
63461,-17910
73739,-52498
-83113,-2205
-20043,61213
-48026,-24430
60014,3596
-13717,-81080
82130,81819
-63631,-58474
-47239,-23587
-70892,32056
-72786,51675
73858,-65386
15941,3476
9972,99068
-71009,41522
70606,-83887
24411,-91338
-29810,-1769
2650,-10681
-19638,-2640
-84807,-66822
-52017,-27869
-75336,76144
-63218,48870
-52009,-16646
-16547,81471
-90069,-81139
80543,-63735
88957,89317
-1827,-79830
-2149,-22392
-32456,-42155
80011,-85383
-26151,-61078
-77759,-16503
56050,-41415
-22052,40428
-51662,-52057
-19218,91897
-80709,-38908
-73605,-69017
88410,11102
91227,58109
15042,-11226
-88044,99164
-53044,-12683
-29368,-39112
64239,-50698
-96919,92165
-91395,-55424
-66202,-20878
29823,-55095
46344,-45995
29549,-16312
-9815,99547
9402,82206
-40736,10085
48939,19267
-62209,-84171
37355,15327
-63298,79634
-26303,-7338
25124,-20321
56045,-79108
-83775,30447
85877,98340
55143,35615
-2642,-14304
-12828,30960
-10643,17749
-38730,49011
1702,28174
2154,735
63526,87608
58966,21069
28864,27785
-24278,40531
62316,72190
6565,-24068
-29855,42425
87800,4704
75189,-27302
10031,-13065
24495,37520
17409,-54630
-58452,95801
-39751,95134
-5815,-42097
-53902,-32313
68862,99289
-61047,57794
-54816,58984
-65858,26474
-54467,62290
-12860,-10381
-37780,66123
84676,-74667
-13959,2654
-63037,43186
80976,-50371
95950,6380
-12226,-23558
-77776,60352
-48387,34172
-18256,96572
18979,87364
-47558,15254
20569,-83963
42243,-17235
-55651,-63831
-76516,99126
-40665,4077
-36244,77057
-15167,29650
1572,-6749
-82897,-80944
-47504,93564
60203,24022
-94156,-68799
85771,-20327
46066,76501
-2278,7803
15705,8735
-52543,-11509
-8230,-63251
92618,-50154
9361,-42978
4227,5902
-53681,11967
-2220,-16971
24812,81136
35827,-38971
-20897,29954
-26513,-42244
97596,-48950
-92452,-28363
77034,61184
82657,7785
59237,18013
-80258,-53772
-47626,-79611
-32929,28929
