650403,-572961,250712
-818420,959580,-943202
-587243,464506,-50025
586480,-56486,-9311
363463,306324,-347036
-60019,-553264,-165029
795537,918328,-676245
-182940,-486288,-949487
317097,988453,432301
916839,686521,38365
-396359,169329,-466592
449712,552192,-172260
503805,-440907,-664344
-628738,-504455,-510384
136760,-847940,516544
-877775,264482,675578
366563,311173,-44907
337452,-435731,-423901
-731601,-208551,515750
786193,213138,467447
-660671,-823161,-869053
88220,-255766,979651
-930772,-287821,-920640
629128,-196216,555825
190205,-63397,946505
-188399,-719074,-169745
288070,-278279,-378446
-267314,-757784,208010
999941,-146987,-730496
412090,-666536,-635510
-606397,-358023,-90528
659146,-489471,-349959
-395023,-483121,-46370
46035,50993,-908650
249729,469780,-949490
-990498,-792746,-823112
550741,491114,471866
-575209,185249,605927
-592043,-487766,-601797
589604,-857321,835324
-460199,235575,795212
661582,-854172,167348
994523,-741773,361841
-209248,602255,669604
799285,-32171,509680
61687,-889941,156368
-835499,333567,-200088
-162901,-892273,-914756
-962192,596213,-900947
803043,243045,-393393
-250082,-157020,470831
-976313,-713681,-389639
2300,238911,-292160
-113233,663804,115898
704888,-780488,-616543
1726,501259,176691
-775609,-570980,-914412
582803,382084,601515
869654,292815,-268917
711775,-599975,-509583
-689987,80294,120913
-837399,-73343,248496
256524,226754,-395248
-806087,-620977,-54864
-933135,557267,175787
-352780,-374471,741780
290102,-848082,-659931
168552,222003,-31855
344354,-483079,61426
585378,423792,670734
-239611,877229,819129
-841413,449388,-997054
-131616,84219,-571380
570948,797913,-480010
-390237,482656,290916
468064,-26617,912866
-799606,156274,619576
-654466,793622,223973
850231,-910579,-337934
576845,-744717,-177695
557652,-782387,169977
754613,-49970,-292865
819442,692960,-203350
860772,461415,-995091
-191989,247655,350593
-421701,999359,849370
537419,732329,985515
887761,-876342,-532019
-441207,-645773,747875
-257739,505992,402874
-453571,-987975,-819578
-52922,496919,-907029
921088,418994,743777
-796486,-379075,907651
81289,944822,924407
-384938,193181,-747308
-696698,-102755,474161
-154755,611717,951161
-351577,-140805,-266448
112814,-562893,17950
-631120,-289636,-369113
-570194,191245,-745128
130523,262443,635448
817294,-543547,491063
399799,-963178,192890
770924,342053,151125
486389,137458,-478290
-110637,-836099,-871190
-762794,911713,-126318
878539,642578,105013
192904,-886611,297718
-337975,917858,-135257
-413997,381140,-166428
8163,-529475,-896527
689562,24133,-680376
891328,901767,566567
696622,941135,-704306
88036,544120,818301
41679,-900307,182869
52435,41912,773088
250165,153557,-892710
-442383,476306,-67398
43774,658111,-775826
-339517,303843,801456
-449810,-205651,906042
-254177,-246728,625409
972644,-886880,-336223
506707,-198245,-457534
-108020,-586064,-897523
691556,609045,778564
2849,-644136,970665
103743,-237253,-271280
485518,-472098,292662
-455163,-960666,-942245
-227301,166707,-539354
507221,-535188,441433
-13058,322396,848789
330359,-925207,134956
803741,-675804,677540
-331418,63898,855240
-408859,220371,-496810
236202,86897,-933338
-635042,-859899,444187
-575706,-805768,-904971
612705,586596,108668
-782563,-410718,-886278
354624,-611024,797513
-610231,-629658,46048
-256421,-632066,445991
79436,568142,-721690
-497723,45958,-476519
438300,537398,-491719
-357672,-152796,583968
-924723,607810,788563
623722,873380,-53746
-909379,-24038,198424
-404951,-271047,-128537
-392165,-160200,-49717
72770,-221017,-683512
-759602,326082,-410946
590534,936272,189996
5102,501590,617479
-544030,186392,864508
662564,956356,177783
-773113,108974,756591
998650,511112,-420419
516605,-460918,-131940
36920,700727,-46485
-46751,219700,15053
-454984,-3762,43826
926325,-121130,995797
-361106,-622696,740221
-94095,745215,-740028
66437,-814016,-547148
566760,522142,-54551
-175330,-990547,-755116
819592,-845597,-593302
-758698,-742468,-54674
744933,876097,503533
302776,538775,389270
-137009,93422,-798762
-725674,597201,-237012
-963165,129027,-127954
-268523,804155,-504990
-965382,687136,207058
-57113,667445,806090
-736681,-602433,47232
689706,293528,817901
914813,-852996,685965
-607739,791855,-478910
475484,394142,875369
-888824,-597557,-506927
28988,260471,53689
-762430,-962117,-839673
285304,617102,-539505
-674682,-966588,-70967
-876656,692238,759421
117007,-679548,939858
-711244,425135,-201858
-263436,-256252,802871
-597616,138812,-890071
-999640,910363,-377636
620001,249236,712596
806140,-874478,716251
-118693,-588398,168520
-268331,-856035,-522838
-270390,-963394,122820
-424250,77833,928093
670187,802547,192792
951761,649647,890082
-571419,-126306,135680
332025,-807036,-637060
-118502,-186374,349945
-174424,-231601,-43309
693105,287882,-764725
4729,126580,822271
-541964,-611144,577041
424085,234562,84904
-135635,-353813,487720
-168108,746625,843430
862530,514101,331368
-705759,504118,-12782
-960324,81238,-700518
-151965,78229,-519924
893604,-843359,948448
461541,-309454,806716
-376183,387279,431007
-689850,-450621,-626769
978225,-713230,-491421
705797,232196,12696
347195,95446,328575
-460957,-803252,323168
805100,378589,860202
-468588,-377686,557996
707303,829706,-433158
-161742,559020,-915805
-828627,75612,727137
870916,-195516,886018
647136,610797,-850448
864905,-662392,-433438
274061,485012,-886709
973030,-428846,-584119
258503,-511861,-49423
-141826,-475036,51951
-445965,-267542,-574624
658661,798183,-639967
858922,697946,476127
909151,23482,89281
-666166,-786667,-923114
-639265,195092,-733723
895410,122109,-841460
264142,-982868,750138
92873,35814,692403
293212,-469201,-1973
980470,-63917,728869
626189,-561370,4951
826717,794259,115530
118244,-601550,5729
-374274,320772,706950
-112087,-563799,-567399
-468084,319984,-356492
-714568,-449389,337074
534103,-140013,-155882
218016,971905,79020
-564453,-803504,332336
-61291,540330,22836
589357,940176,457196
172146,-766053,708789
827135,385008,810753
504026,257677,-993703
618657,-337561,-73660
454029,274201,73100
690763,257838,-532955
231776,-529150,-437130
227041,345298,-661297
-980639,-445427,-687687
126290,856142,-155891
708154,419081,-524079
-96218,-49612,743696
